"data","encoding","regressor","mse","pcc","ktc","r2"
0,"embedding layer","proposed_model",0.2706,0.8033,0.5664,0.5555
1,"embedding layer","proposed_model",0.2561,0.7806,0.5772,0.4121
2,"embedding layer","proposed_model",0.2785,0.8030,0.5904,0.4818
3,"embedding layer","proposed_model",0.2474,0.8064,0.5900,0.5199
4,"embedding layer","proposed_model",0.2791,0.7840,0.5743,0.5020
0,"CTDD","SVM",0.4550,0.6224,0.4133,0.3856
0,"CTDD","RF",0.3547,0.7232,0.4995,0.5211
0,"CTDD","DT",0.6741,0.5670,0.3775,0.0898
0,"CTDD","KNN",0.4799,0.6165,0.3828,0.3520
0,"QSOrder","SVM",0.4074,0.6713,0.4471,0.4499
0,"QSOrder","RF",0.3265,0.7532,0.4998,0.5592
0,"QSOrder","DT",0.6844,0.5774,0.3534,0.0759
0,"QSOrder","KNN",0.4327,0.6606,0.4095,0.4158
0,"CTDC","SVM",0.4744,0.5999,0.3660,0.3595
0,"CTDC","RF",0.3713,0.7075,0.4445,0.4986
0,"CTDC","DT",0.6817,0.5331,0.3319,0.0796
0,"CTDC","KNN",0.4650,0.6377,0.4019,0.3722
0,"CTDT","SVM",0.4061,0.6729,0.4309,0.4517
0,"CTDT","RF",0.3970,0.6852,0.4395,0.4640
0,"CTDT","DT",0.7408,0.5250,0.3308,-0.0002
0,"CTDT","KNN",0.4887,0.6142,0.3611,0.3401
1,"CTDD","SVM",0.4044,0.6176,0.4029,0.3811
1,"CTDD","RF",0.3105,0.7363,0.4966,0.5249
1,"CTDD","DT",0.6385,0.5103,0.3364,0.0229
1,"CTDD","KNN",0.4315,0.6257,0.4062,0.3397
1,"QSOrder","SVM",0.3591,0.6716,0.4542,0.4505
1,"QSOrder","RF",0.3048,0.7335,0.5128,0.5335
1,"QSOrder","DT",0.6983,0.4977,0.3289,-0.0686
1,"QSOrder","KNN",0.3699,0.6787,0.4504,0.4339
1,"CTDC","SVM",0.4118,0.6089,0.3934,0.3699
1,"CTDC","RF",0.3094,0.7345,0.4948,0.5265
1,"CTDC","DT",0.5730,0.5563,0.3803,0.1231
1,"CTDC","KNN",0.4074,0.6460,0.4113,0.3765
1,"CTDT","SVM",0.3744,0.6543,0.4262,0.4271
1,"CTDT","RF",0.3458,0.7033,0.4786,0.4708
1,"CTDT","DT",0.7836,0.3949,0.2574,-0.1992
1,"CTDT","KNN",0.4125,0.6442,0.3984,0.3687
2,"CTDD","SVM",0.4393,0.6718,0.4544,0.4378
2,"CTDD","RF",0.3668,0.7387,0.5262,0.5306
2,"CTDD","DT",0.6663,0.5671,0.3863,0.1474
2,"CTDD","KNN",0.5179,0.5988,0.3945,0.3373
2,"QSOrder","SVM",0.3830,0.7180,0.4857,0.5099
2,"QSOrder","RF",0.3357,0.7641,0.5409,0.5704
2,"QSOrder","DT",0.7211,0.5212,0.3208,0.0773
2,"QSOrder","KNN",0.4450,0.6623,0.4423,0.4305
2,"CTDC","SVM",0.4910,0.6119,0.3817,0.3717
2,"CTDC","RF",0.3824,0.7199,0.4962,0.5107
2,"CTDC","DT",0.7200,0.5317,0.3460,0.0786
2,"CTDC","KNN",0.4974,0.6151,0.3862,0.3635
2,"CTDT","SVM",0.4501,0.6553,0.4195,0.4240
2,"CTDT","RF",0.4099,0.7020,0.4856,0.4755
2,"CTDT","DT",0.8040,0.4707,0.3257,-0.0289
2,"CTDT","KNN",0.4639,0.6473,0.4182,0.4064
3,"CTDD","SVM",0.4231,0.6327,0.4320,0.3964
3,"CTDD","RF",0.3280,0.7342,0.5215,0.5321
3,"CTDD","DT",0.6862,0.5152,0.3303,0.0210
3,"CTDD","KNN",0.4356,0.6346,0.4055,0.3785
3,"QSOrder","SVM",0.4072,0.6483,0.4425,0.4190
3,"QSOrder","RF",0.3135,0.7447,0.5296,0.5528
3,"QSOrder","DT",0.6096,0.5733,0.3841,0.1303
3,"QSOrder","KNN",0.3648,0.7010,0.4710,0.4795
3,"CTDC","SVM",0.4982,0.5434,0.3396,0.2892
3,"CTDC","RF",0.3704,0.6868,0.4558,0.4715
3,"CTDC","DT",0.7247,0.4792,0.3293,-0.0340
3,"CTDC","KNN",0.4337,0.6389,0.4261,0.3813
3,"CTDT","SVM",0.4045,0.6520,0.4361,0.4229
3,"CTDT","RF",0.3577,0.7035,0.4995,0.4897
3,"CTDT","DT",0.7637,0.4897,0.3493,-0.0896
3,"CTDT","KNN",0.3919,0.6753,0.4482,0.4409
4,"CTDD","SVM",0.4522,0.6592,0.4369,0.4288
4,"CTDD","RF",0.3593,0.7437,0.5217,0.5461
4,"CTDD","DT",0.7131,0.5355,0.3436,0.0992
4,"CTDD","KNN",0.4901,0.6369,0.4058,0.3810
4,"QSOrder","SVM",0.3994,0.7064,0.4806,0.4955
4,"QSOrder","RF",0.3674,0.7380,0.5127,0.5359
4,"QSOrder","DT",0.7305,0.5414,0.3632,0.0772
4,"QSOrder","KNN",0.4804,0.6464,0.4311,0.3931
4,"CTDC","SVM",0.4796,0.6299,0.3898,0.3942
4,"CTDC","RF",0.4143,0.6912,0.4533,0.4766
4,"CTDC","DT",0.7313,0.5351,0.3608,0.0763
4,"CTDC","KNN",0.4686,0.6480,0.4075,0.4081
4,"CTDT","SVM",0.4310,0.6769,0.4452,0.4556
4,"CTDT","RF",0.4209,0.6901,0.4604,0.4683
4,"CTDT","DT",0.8358,0.4566,0.3057,-0.0558
4,"CTDT","KNN",0.4589,0.6555,0.4321,0.4204
