"regressor","encoding","mean_mse","std_mse","mean_pcc","std_pcc","mean_r2","std_r2","mean_ktc","std_ktc"
"DT","CTDC",0.802973825331908,0.0660989202366938,0.410064362843314,0.045766658670112,-0.157977260967299,0.09933441320484,0.272687360647354,0.0196749351473574
"DT","CTDD",0.749333199476296,0.0326474552251243,0.447554860469832,0.0566682574368661,-0.0822951630600464,0.0872647024766729,0.275360717466502,0.0472703109755502
"DT","CTDT",0.831208550649398,0.124699973879907,0.386447296703792,0.0613532279462388,-0.196009520870188,0.156003934475091,0.265697863606211,0.0265029367164697
"DT","QSOrder",0.807825959160453,0.093498101931791,0.407821474146634,0.0491382773464955,-0.162256876823923,0.109662770182446,0.277777748351793,0.0307359339466371
"KNN","CTDC",0.506132107034154,0.0140886827617823,0.537802581565618,0.0376841089956167,0.269720626120043,0.0394854305181808,0.352566177465107,0.0193441384378036
"KNN","CTDD",0.476885738896503,0.0281171666049408,0.58780030296445,0.0205727727936729,0.312798820376512,0.0339354996210419,0.379501815744313,0.0169975894279747
"KNN","CTDT",0.513326280486561,0.0407035866006894,0.543029759213086,0.0551552770687378,0.25915332387598,0.0704535788257955,0.339508676591985,0.0409317198236567
"KNN","QSOrder",0.465234760133014,0.0227571854172473,0.591035505553511,0.021947529467454,0.329463694836909,0.0284867170595242,0.377778975964759,0.0117224758759438
"RF","CTDC",0.434974679545441,0.0154129872212877,0.616524766213379,0.0388630553178478,0.372113845746767,0.0424196189128191,0.411897982517565,0.0303091860749117
"RF","CTDD",0.374703702094288,0.0182921463136698,0.687935616743111,0.0218003103557672,0.459778081212511,0.0268077886395197,0.457571169549951,0.0346442266874523
"RF","CTDT",0.447728669451208,0.0161761832750636,0.605637163013739,0.0252619014774963,0.354217955514571,0.0316927254721704,0.408964473942024,0.0151150694596157
"RF","QSOrder",0.380030515248276,0.0119702734888879,0.685645310198784,0.0288747984950922,0.451644883479768,0.0310684327863437,0.462572306398588,0.00946975816490186
"SVM","CTDC",0.556989521250115,0.0403964400598045,0.450766321484343,0.0431036120584167,0.197645473370296,0.0452311322373425,0.310718411653843,0.0252324629834512
"SVM","CTDD",0.510774421384601,0.0413760867589726,0.515916309424283,0.0519362349517182,0.263927627975164,0.0541183411614512,0.355358156477863,0.0382154455469312
"SVM","CTDT",0.561571329141304,0.0587327372546984,0.447955314482793,0.0603216185894633,0.191729867444973,0.0659340772603282,0.325675773820729,0.0296658139786533
"SVM","QSOrder",0.480098606762324,0.0396942428307362,0.559106181551004,0.0349030902731942,0.308698523349837,0.0418739654644078,0.387994048725071,0.0244616850044529
